Region,Unit Code,Mkthour Begin (EST),Cleared MW1,Cleared MW2,Cleared MW3,Cleared MW4,Cleared MW5,Cleared MW6,Cleared MW7,Cleared MW8,Cleared MW9,Cleared MW10,Cleared MW11,Cleared MW12,Economic Max,Economic Min,Emergency Max,Emergency Min,Economic Flag,Emergency Flag,Must Run Flag,Unit Available Flag,Self Scheduled MW,Target MW Reduction,Curtailment Offer Price,Price1,MW1,Price2,MW2,Price3,MW3,Price4,MW4,Price5,MW5,Price6,MW6,Price7,MW7,Price8,MW8,Price9,MW9,Price10,MW10,Slope,MinEnergyStorageLevel,MaxEnergyStorageLevel,EmerMinEnergyStorageLevel,EmerMaxEnergyStorageLevel
Central,A3167,10/10/2025 00:00:00,462,420,394.2,378.3,386.3,386.3,394.5,420,420,432.1,420,359.7,612,335,612,165,0,0,1,1,0,,,14.44,165,15.58,229,16.73,293,17.88,357,19.03,421,20.18,485,21.2,542,28.39,542.1,28.39,549,28.39,613,1,,,,
Central,A3175,10/10/2025 00:00:00,359,353.4,351.1,345.2,339.7,335.4,330.3,325.9,320.4,320,320,320,492,320,492,255,0,0,1,1,0,,,29.98,250,29.99,270,30,280,30.01,320,30.02,370,30.03,400,30.04,430,30.05,465,76.05,490,87.46,505,0,,,,
Central,A3184,10/10/2025 00:00:00,42.1,21,4.7,,,,,,,,,,70,47,72,45,1,0,0,1,45,,,30.62,45,30.62,49.2,30.62,53.4,30.62,57.6,30.62,61.8,30.62,66,30.62,70.2,31.73,74.4,33.15,78.6,34.89,82.8,1,,,,
Central,A3197,10/10/2025 00:00:00,-4.3,-4.4,-4.3,-4.3,-4.3,-4.4,-4.4,-4.3,-4.3,-4.4,-4.3,-4.4,107,84,107,84,0,0,0,0,0,,,21.69,70,21.7,95,50,100,50.01,103,50.02,105,75.01,110,,,,,,,,,0,,,,
North,A3213,10/10/2025 00:00:00,24.2,26.4,26.1,25.2,27,28.2,27.7,26.5,25.9,24.9,23.6,22.7,21,0,21,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,
North,A3215,10/10/2025 00:00:00,56.2,56.8,56.4,56.3,55.5,52.7,50.5,50.3,49.6,49.9,48.8,48.1,77,0,77,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,
North,A3375,10/10/2025 00:00:00,2,1.8,1.5,1.4,1.3,1.2,1.3,1.4,1.5,1.6,1.6,1.7,40,39,40,39,1,0,0,1,0,,,0,1,0,40,,,,,,,,,,,,,,,,,1,,,,
Central,A3400,10/10/2025 00:00:00,74.4,37.3,8.3,,,,,,,,,,83,83,83,83,1,0,0,1,0,,,25.79,51,25.79,93,,,,,,,,,,,,,,,,,1,,,,
Central,A3401,10/10/2025 00:00:00,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1,0,0,1,0,,,27,51,27,93,,,,,,,,,,,,,,,,,1,,,,
Central,A3419,10/10/2025 00:00:00,295,295,295,295,295,295,295,295,295,295,295,295,295,295,505,215,0,0,1,1,0,,,28.51,0,29.89,215,30.36,287.5,30.82,360,31.46,460,68.95,505,,,,,,,,,1,,,,
North,A3427,10/10/2025 00:00:00,28.5,27.6,32.7,34.9,35.8,34.8,34.8,37.5,35.7,34.8,37.3,37.3,34.3,0,34.3,0,0,0,1,1,14.8,,,-40.71,1,-40.67,42,,,,,,,,,,,,,,,,,1,,,,
Central,A3455,10/10/2025 00:00:00,39,39,39,39,39,39,39,39,39,39,39,39,151,39,157,36,0,0,1,1,0,,,22.93,36,23.47,49.6,24.01,63.1,24.56,76.7,25.1,90.2,25.64,103.8,26.19,117.3,26.73,130.9,27.27,144.4,27.82,158,1,,,,
