FORECASTED AND ,,,,,,,,,,
ACTUAL LOAD REPORT,,,,,,,,,,
Published Date:,, 10/11/2025,,,,,,,,
Reporting Period:,,10/10/2025,through,10/11/2025,,,,,,
,,,,,,,,,,
,Market Day,HourEnding,North MTLF (MWh),North ActualLoad (MWh),Central MTLF (MWh),Central ActualLoad (MWh),South MTLF (MWh),South ActualLoad (MWh),MISO MTLF (MWh),MISO ActualLoad (MWh)
"October 10, 2025",,,,,,,,,,
,10/10/2025,1,14891.0,14977.9,31178.0,29921.7,18375.0,17895.1,64444.0,62794.7
,10/10/2025,2,14505.0,14575.6,30688.0,29288.2,17726.0,17163.1,62919.0,61026.9
,10/10/2025,3,14259.0,14285.9,30468.0,29080.5,17225.0,16691.2,61952.0,60057.6
,10/10/2025,4,14185.0,14159.4,30703.0,29009.0,16984.0,16280.3,61872.0,59448.7
,10/10/2025,5,14369.0,14289.7,31752.0,30206.0,16992.0,16375.6,63113.0,60871.3
,10/10/2025,6,15001.0,15004.8,32444.0,32372.7,17374.0,16705.0,64819.0,64082.5
,10/10/2025,7,16120.0,16217.5,34580.0,34681.0,18070.0,17523.6,68770.0,68422.1
,10/10/2025,8,17072.0,17067.8,35564.0,35724.0,18303.0,17737.3,70939.0,70529.1
,10/10/2025,9,17246.0,17080.2,35699.0,36080.5,18626.0,18121.9,71571.0,71282.6
,10/10/2025,10,16920.0,16736.4,35592.0,36063.2,19111.0,18654.2,71623.0,71453.8
,10/10/2025,11,16580.0,16648.2,35473.0,35995.2,19797.0,19512.7,71850.0,72156.1
,10/10/2025,12,16386.0,16607.3,35373.0,36120.9,20489.0,20131.7,72248.0,72859.9
,10/10/2025,13,16333.0,16712.5,35252.0,36058.6,21290.0,20970.4,72875.0,73741.5
,10/10/2025,14,16337.0,16809.5,35145.0,35887.1,22177.0,22041.2,73659.0,74737.8
,10/10/2025,15,16334.0,16825.8,35019.0,35844.7,22938.0,22782.2,74291.0,75452.7
,10/10/2025,16,16393.0,16927.0,35013.0,35835.7,23349.0,23375.5,74755.0,76138.2
,10/10/2025,17,16623.0,17241.2,35091.0,35870.7,23417.0,23732.6,75131.0,76844.5
,10/10/2025,18,16921.0,17630.3,35146.0,35873.0,22928.0,23397.4,74995.0,76900.7
,10/10/2025,19,17102.0,17563.7,35237.0,36223.0,22111.0,22316.4,74450.0,76103.1
,10/10/2025,20,17051.0,17526.1,34931.0,35859.1,21611.0,21631.3,73593.0,75016.5
,10/10/2025,21,16782.0,17045.7,33997.0,34711.9,20995.0,20910.0,71774.0,72667.6
,10/10/2025,22,16243.0,16463.6,32592.0,33363.3,20298.0,20104.9,69133.0,69931.8
,10/10/2025,23,15602.0,15775.9,31188.0,31811.3,19441.0,19109.1,66231.0,66696.3
,10/10/2025,24,14912.0,14965.4,29816.0,30356.8,18556.0,18357.0,63284.0,63679.2
,,,,,,,,,,
,Market Day,HourEnding,North MTLF (MWh),North ActualLoad (MWh),Central MTLF (MWh),Central ActualLoad (MWh),South MTLF (MWh),South ActualLoad (MWh),MISO MTLF (MWh),MISO ActualLoad (MWh)
"October 11, 2025",,,,,,,,,,
,10/11/2025,1,14378.0,,28940.0,,17497.0,,60815.0,
,10/11/2025,2,14027.0,,28204.0,,16878.0,,59109.0,
,10/11/2025,3,13814.0,,28674.0,,16451.0,,58939.0,
,10/11/2025,4,13708.0,,28484.0,,16198.0,,58390.0,
,10/11/2025,5,13747.0,,28751.0,,16119.0,,58617.0,
,10/11/2025,6,14067.0,,28571.0,,16210.0,,58848.0,
,10/11/2025,7,14648.0,,29226.0,,16442.0,,60316.0,
,10/11/2025,8,15067.0,,30129.0,,16707.0,,61903.0,
,10/11/2025,9,15026.0,,30817.0,,17197.0,,63040.0,
,10/11/2025,10,14843.0,,31329.0,,17928.0,,64100.0,
,10/11/2025,11,14821.0,,31608.0,,18785.0,,65214.0,
,10/11/2025,12,14783.0,,31671.0,,19633.0,,66087.0,
,10/11/2025,13,14733.0,,31746.0,,20463.0,,66942.0,
,10/11/2025,14,14740.0,,31839.0,,21339.0,,67918.0,
,10/11/2025,15,14826.0,,31959.0,,22111.0,,68896.0,
,10/11/2025,16,15046.0,,32224.0,,22572.0,,69842.0,
,10/11/2025,17,15493.0,,32701.0,,22628.0,,70822.0,
,10/11/2025,18,16023.0,,33228.0,,22219.0,,71470.0,
,10/11/2025,19,16386.0,,33519.0,,21491.0,,71396.0,
,10/11/2025,20,16438.0,,33223.0,,21020.0,,70681.0,
,10/11/2025,21,16232.0,,32408.0,,20349.0,,68989.0,
,10/11/2025,22,15799.0,,31210.0,,19567.0,,66576.0,
,10/11/2025,23,15166.0,,29824.0,,18646.0,,63636.0,
,10/11/2025,24,14496.0,,28895.0,,17732.0,,61123.0,
,,,,,,,,,,
,,,,,,,,,,
"MISO MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, WITH RESPECT TO THE ACCURACY OR ADEQUACY OF THE INFORMATION CONTAINED HEREIN. MISO SHALL HAVE NO LIABILITY TO RECIPIENTS OF THIS INFORMATION OR THIRD PARTIES FOR THE CONSEQUENCES ARISING FROM ERRORS OR DISCREPANCIES IN THIS INFORMATION, FOR RECIPIENTS' OR THIRD PARTIES' RELIANCE UPON SUCH INFORMATION, OR FOR ANY CLAIM, LOSS OR DAMAGE OF ANY KIND OR NATURE WHATSOEVER ARISING OUT OF OR IN CONNECTION WITH (i) THE DEFICIENCY OR INADEQUACY OF THIS INFORMATION FOR ANY PURPOSE, WHETHER OR NOT KNOWN OR DISCLOSED TO MISO, (ii) ANY ERROR OR DISCREPANCY IN THIS INFORMATION, (iii) THE USE OF THIS INFORMATION, OR (iv) ANY LOSS OF BUSINESS OR OTHER CONSEQUENTIAL LOSS OR DAMAGE WHETHER OR NOT RESULTING FROM ANY OF THE FOREGOING.",,,,,,,,,,
